,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
29,Ron Boone\boonero01,1980,1981,2,127,3432,551,1246,30,89,244,283,67,300,463,125,11,295,345,1376,.442,.337,.862,27.0,10.8,2.4,3.6
30,Carlos Boozer\boozeca01,2005,2010,6,354,12051,2804,5153,0,2,1213,1693,938,3712,1012,364,137,901,1196,6821,.544,.000,.716,34.0,19.3,10.5,2.9
31,Curtis Borchardt\borchcu01,2004,2005,2,83,1117,96,228,0,1,66,89,99,278,64,14,46,70,200,258,.421,.000,.742,13.5,3.1,3.3,0.8
32,Tom Boswell\bosweto01,1980,1984,2,99,1816,302,530,5,9,164,224,134,392,131,33,29,155,272,773,.570,.556,.732,18.3,7.8,4.0,1.3
33,Freddie Boyd\boydfr01,1976,1978,3,98,2159,310,681,,,121,169,25,139,273,80,16,20,155,741,.455,,.716,22.0,7.6,1.4,2.8
34,Ken Boyd\boydke01,1975,1975,1,6,25,7,13,,,5,11,3,5,2,3,0,,2,19,.538,,.455,4.2,3.2,0.8,0.3
35,Tony Bradley\bradlto01,2018,2018,1,9,29,3,11,0,1,2,2,4,11,1,0,0,0,1,8,.273,.000,1.000,3.2,0.9,1.2,0.1
36,Ronnie Brewer\brewero02,2007,2010,4,266,7030,1083,2071,41,175,579,820,279,773,488,389,70,254,362,2786,.523,.234,.706,26.4,10.5,2.9,1.8
37,Allan Bristow\bristal01,1980,1981,2,164,4305,648,1396,7,25,363,441,273,942,724,151,9,350,401,1666,.464,.280,.823,26.3,10.2,5.7,4.4
38,Dee Brown\brownde03,2007,2007,1,49,450,32,98,6,28,24,37,8,40,83,22,7,31,51,94,.327,.214,.649,9.2,1.9,0.8,1.7
39,Devin Brown\brownde02,2006,2006,1,81,1711,207,527,39,118,158,212,73,207,104,44,14,99,153,611,.393,.331,.745,21.1,7.5,2.6,1.3
40,John Brown\brownjo01,1980,1980,1,4,24,0,7,0,0,4,4,5,9,4,0,0,5,4,4,.000,,1.000,6.0,1.0,2.3,1.0
41,Mike Brown\brownmi01,1989,1993,5,394,7173,807,1773,1,4,684,956,646,1835,282,160,126,447,872,2299,.455,.250,.715,18.2,5.8,4.7,0.7
42,Raymond Brown\brownra01,1990,1990,1,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,.286,,.000,3.5,1.0,0.9,0.3
43,Tony Brown\brownto01,1991,1991,1,23,267,28,77,2,11,20,23,24,39,13,4,0,12,39,78,.364,.182,.870,11.6,3.4,1.7,0.6
44,Trey Burke\burketr01,2014,2016,3,210,5916,973,2536,323,982,278,340,86,524,872,142,27,335,350,2547,.384,.329,.818,28.2,12.1,2.5,4.2
45,Alec Burks\burksal01,2012,2019,8,369,7717,1229,2889,231,651,862,1126,224,1074,605,222,54,473,650,3551,.425,.355,.766,20.9,9.6,2.9,1.6
46,Marty Byrnes\byrnema01,1979,1979,1,36,530,78,166,,,33,54,41,94,43,12,8,40,42,189,.470,,.611,14.7,5.3,2.6,1.2
