,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
70,LeRon Ellis\ellisle02,1996,1996,1,12,74,5,22,0,0,3,6,5,8,4,2,3,3,11,13,.227,,.500,6.2,1.1,0.7,0.3
71,James Ennis\ennisja01,2015,2016,2,65,1058,101,247,31,95,79,94,51,176,49,25,17,39,90,312,.409,.326,.840,16.3,4.8,2.7,0.8
72,Matt Fish\fishma01,1997,1997,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
73,Gerald Fitch\fitchge01,2006,2006,1,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,.337,.269,.739,13.3,4.7,1.7,1.8
74,Tellis Frank\frankte01,1990,1990,1,77,1762,278,607,0,0,179,234,151,385,85,51,27,134,282,735,.458,,.765,22.9,9.5,5.0,1.1
75,Todd Fuller\fulleto02,2001,2001,1,10,77,10,35,0,0,8,8,7,18,1,3,2,3,10,28,.286,,1.000,7.7,2.8,1.8,0.1
76,Kevin Gamble\gamblke01,1995,1996,2,121,2256,337,747,77,189,120,149,43,208,201,83,15,81,249,871,.451,.407,.805,18.6,7.2,1.7,1.7
77,Chris Gatling\gatlich01,1996,2002,2,78,1374,286,552,1,8,137,192,122,381,42,34,22,93,191,710,.518,.125,.714,17.6,9.1,4.9,0.5
78,Matt Geiger\geigema01,1993,1995,3,194,3465,538,982,5,19,271,384,311,836,101,92,98,210,569,1352,.548,.263,.706,17.9,7.0,4.3,0.5
79,Kendall Gill\gillke01,2002,2002,1,65,1410,162,422,6,44,42,62,29,184,100,44,8,55,140,372,.384,.136,.677,21.7,5.7,2.8,1.5
80,Mickell Gladness\gladnmi01,2012,2012,1,8,28,1,3,0,0,0,0,1,11,2,1,1,3,8,2,.333,,,3.5,0.3,1.4,0.3
81,Ron Grandison\grandro01,1996,1996,1,18,235,13,39,4,13,13,19,14,36,10,8,1,11,27,43,.333,.308,.684,13.1,2.4,2.0,0.6
82,Danny Granger\grangda01,2015,2015,1,30,613,65,162,30,84,28,37,20,80,17,13,6,24,67,188,.401,.357,.757,20.4,6.3,2.7,0.6
83,Brian Grant\grantbr01,2001,2004,4,312,9971,1403,2909,0,4,627,788,800,2654,411,222,184,503,1083,3433,.482,.000,.796,32.0,11.0,8.5,1.3
84,Gary Grant\grantga01,1997,1997,1,28,365,39,110,14,46,18,22,8,38,45,16,0,27,39,110,.355,.304,.818,13.0,3.9,1.4,1.6
85,Sylvester Gray\graysy01,1989,1989,1,55,1220,167,398,1,4,105,156,117,286,117,36,25,102,144,440,.420,.250,.673,22.2,8.0,5.2,2.1
86,A.C. Green\greenac01,2001,2001,1,82,1411,144,324,0,6,79,111,107,313,39,30,8,45,119,367,.444,.000,.712,17.2,4.5,3.8,0.5
87,Gerald Green\greenge01,2016,2016,1,69,1557,230,587,84,260,72,92,25,163,56,38,19,46,123,616,.392,.323,.783,22.6,8.9,2.4,0.8
88,Scott Haffner\haffnsc01,1990,1990,1,43,559,88,217,3,21,17,25,7,51,80,13,2,33,53,196,.406,.143,.680,13.0,4.6,1.2,1.9
89,Justin Hamilton\hamilju01,2014,2015,2,31,357,36,85,9,28,11,12,28,55,12,12,5,11,41,92,.424,.321,.917,11.5,3.0,1.8,0.4
90,Tang Hamilton\hamilta01,2002,2002,1,9,98,10,19,0,1,0,1,6,18,5,4,0,2,10,20,.526,.000,.000,10.9,2.2,2.0,0.6
91,Anfernee Hardaway\hardaan01,2008,2008,1,16,325,22,60,8,19,8,9,3,35,35,19,1,13,24,60,.367,.421,.889,20.3,3.8,2.2,2.2
92,Tim Hardaway\hardati01,1996,2001,6,367,13271,2252,5498,806,2263,1025,1279,176,1180,2867,541,47,1003,804,6335,.410,.356,.801,36.2,17.3,3.2,7.8
93,Josh Harrellson\harrejo01,2013,2013,1,6,31,4,9,1,5,1,2,3,7,0,1,1,3,4,10,.444,.200,.500,5.2,1.7,1.2,0.0
