,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
426,Jeffrey Sheppard\sheppje01,1999,1999,1,18,185,15,39,2,7,8,13,6,22,16,3,0,7,12,40,.385,.286,.615,10.3,2.2,1.2,0.9
427,Paul Shirley\shirlpa01,2003,2003,1,2,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.5,0.0,0.5,0.0
428,Larry Siegfried\siegfla01,1972,1972,1,21,335,25,77,,,20,23,,32,52,,,,32,70,.325,,.870,16.0,3.3,1.5,2.5
429,Paul Silas\silaspa01,1965,1969,5,363,7904,1057,2476,,,734,1195,,3184,446,,,,850,2848,.427,,.614,21.8,7.8,8.8,1.2
430,Dickey Simpkins\simpkdi01,2002,2002,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,3.0,0.0,0.0,1.0
431,Bob Sims\simsbo01,1962,1962,1,46,1174,171,432,,,104,177,,156,142,,,,147,446,.396,,.588,25.5,9.7,3.4,3.1
432,Reggie Slater\slatere01,2002,2002,1,4,37,5,13,0,0,6,9,5,7,1,1,1,0,2,16,.385,,.667,9.3,4.0,1.8,0.3
433,Donald Sloan\sloando01,2012,2012,1,5,20,3,8,0,1,0,0,1,5,5,1,0,2,3,6,.375,.000,,4.0,1.2,1.0,1.0
434,Donta Smith\smithdo04,2005,2006,2,61,560,59,140,8,26,39,60,22,66,48,31,5,29,70,165,.421,.308,.650,9.2,2.7,1.1,0.8
435,Joe Smith\smithjo02,2010,2010,1,64,592,77,193,1,7,39,48,66,157,21,6,19,22,95,194,.399,.143,.813,9.3,3.0,2.5,0.3
436,Josh Smith\smithjo03,2005,2013,9,676,23078,4030,8674,267,942,2044,3125,1409,5407,2170,857,1440,1715,1915,10371,.465,.283,.654,34.1,15.3,8.0,3.2
437,Kenny Smith\smithke01,1990,1990,1,33,674,98,204,4,24,55,65,7,37,142,22,1,47,45,255,.480,.167,.846,20.4,7.7,1.1,4.3
438,Leon Smith\smithle01,2002,2002,1,14,100,10,26,0,0,11,17,10,31,3,5,1,3,12,31,.385,,.647,7.1,2.2,2.2,0.2
439,Randy Smith\smithra01,1983,1983,1,15,142,29,66,0,2,13,14,2,8,14,2,0,9,17,71,.439,.000,.929,9.5,4.7,0.5,0.9
440,Steve Smith\smithst01,1995,1999,5,339,12448,2108,4905,549,1630,1526,1807,497,1294,1206,301,112,753,915,6291,.430,.337,.844,36.7,18.6,3.8,3.6
441,Tony Smith\smithto02,2001,2001,1,6,78,8,23,0,2,1,2,2,3,10,7,0,9,12,17,.348,.000,.500,13.0,2.8,0.5,1.7
442,Dick Snyder\snydedi01,1967,1968,2,130,2298,401,946,,,175,228,,285,223,,,,297,977,.424,,.768,17.7,7.5,2.2,1.7
443,Mike Sojourner\sojoumi01,1975,1977,3,191,4282,721,1502,,,216,322,371,1237,172,88,106,,457,1658,.480,,.671,22.4,8.7,6.5,0.9
444,Rory Sparrow\sparrro01,1982,1983,2,131,4158,630,1242,4,30,208,261,92,365,662,157,14,271,402,1472,.507,.133,.797,31.7,11.2,2.8,5.1
445,Odie Spears\spearod01,1957,1957,1,,,,,,,,,,,,,,,,,,,,,,,
446,Omari Spellman\spellom01,2019,2019,1,3,48,11,18,5,8,1,2,4,9,1,1,1,3,8,28,.611,.625,.500,16.0,9.3,3.0,0.3
