,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
141,Wayne Selden\seldewa01,2017,2017,1,3,47,5,8,4,7,2,4,0,5,1,2,0,3,6,16,.625,.571,.500,15.7,5.3,1.7,0.3
142,Cedric Simmons\simmoce01,2007,2007,1,43,534,55,132,0,0,16,33,44,107,12,8,23,22,75,126,.417,,.485,12.4,2.9,2.5,0.3
143,Henry Sims\simshe01,2013,2013,1,2,5,2,3,0,0,0,0,2,2,0,0,0,1,1,4,.667,,,2.5,2.0,1.0,0.0
144,Donald Sloan\sloando01,2012,2013,2,6,47,5,14,0,2,2,4,2,3,9,2,0,6,2,12,.357,.000,.500,7.8,2.0,0.5,1.5
145,Ish Smith\smithis01,2016,2016,1,27,617,98,228,10,33,33,43,14,92,154,24,6,45,38,239,.430,.303,.767,22.9,8.9,3.4,5.7
146,J.R. Smith\smithjr01,2005,2006,2,131,2848,439,1114,133,421,194,262,58,262,200,92,15,163,225,1205,.394,.316,.740,21.7,9.2,2.0,1.5
147,Jason Smith\smithja02,2011,2014,4,199,3755,615,1278,1,15,217,269,276,804,133,73,147,176,475,1448,.481,.067,.807,18.9,7.3,4.0,0.7
148,Josh Smith\smithjo03,2018,2018,1,3,12,1,4,0,0,0,0,3,4,0,0,0,0,3,2,.250,,,4.0,0.7,1.3,0.0
149,Russ Smith\smithru01,2015,2015,1,6,29,2,10,1,6,0,0,0,3,2,0,0,7,6,5,.200,.167,,4.8,0.8,0.5,0.3
150,Steve Smith\smithst01,2004,2004,1,71,929,119,293,43,107,77,83,27,81,56,15,6,42,91,358,.406,.402,.928,13.1,5.0,1.1,0.8
151,Kirk Snyder\snydeki01,2006,2006,1,68,1310,205,453,46,129,86,117,55,161,102,29,23,70,106,542,.453,.357,.735,19.3,8.0,2.4,1.5
152,Darius Songaila\songada01,2010,2010,1,75,1410,241,488,1,6,60,74,59,232,70,62,14,81,206,543,.494,.167,.811,18.8,7.2,3.1,0.9
153,James Southerland\southja01,2014,2014,1,3,27,5,12,3,5,1,2,0,8,0,1,2,1,3,14,.417,.600,.500,9.0,4.7,2.7,0.0
154,Lance Stephenson\stephla01,2017,2017,1,6,162,26,55,1,10,5,8,3,18,29,2,1,11,18,58,.473,.100,.625,27.0,9.7,3.0,4.8
155,Greg Stiemsma\stiemgr01,2014,2014,1,55,1007,70,122,0,1,19,32,72,226,36,35,57,44,169,159,.574,.000,.594,18.3,2.9,4.1,0.7
156,Peja Stojakovic\stojape01,2007,2011,5,219,7261,1113,2662,553,1369,356,396,158,882,280,167,22,191,342,3135,.418,.404,.899,33.2,14.3,4.0,1.3
