,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
11,Bob Arnzen\arnzebo01,1973,1974,2,43,260,44,86,1,4,13,17,21,43,6,3,2,8,23,102,.512,.250,.765,6.0,2.4,1.0,0.1
12,Vincent Askew\askewvi01,1997,1997,1,41,822,79,183,7,24,68,86,25,98,90,17,6,42,122,233,.432,.292,.791,20.0,5.7,2.4,2.2
13,D.J. Augustin\augusdj01,2013,2013,1,76,1226,103,294,67,190,83,99,20,91,170,34,3,68,64,356,.350,.353,.838,16.1,4.7,1.2,2.2
14,Jeff Ayres\pendeje02,2012,2013,2,57,475,76,162,2,4,25,30,41,137,19,9,14,25,60,179,.469,.500,.833,8.3,3.1,2.4,0.3
15,Mike Bantom\bantomi01,1978,1982,5,355,11045,1977,4131,2,12,920,1323,838,2357,1048,402,270,882,1340,4876,.479,.167,.695,31.1,13.7,6.6,3.0
16,Leandro Barbosa\barbole01,2012,2012,1,22,436,73,183,25,59,25,33,12,49,33,20,0,26,34,196,.399,.424,.758,19.8,8.9,2.2,1.5
17,Nathaniel Barnett\barnena01,1976,1976,1,12,73,12,26,0,1,3,8,3,8,8,3,1,8,22,27,.462,.000,.375,6.1,2.3,0.7,0.7
18,John Barnhill\barnhjo01,1970,1972,3,139,3187,433,1152,89,382,208,314,95,254,411,,,208,263,1163,.376,.233,.662,22.9,8.4,1.8,3.0
19,Maceo Baston\bastoma01,2007,2009,2,74,622,74,122,3,8,54,74,43,126,23,18,28,44,104,205,.607,.375,.730,8.4,2.8,1.7,0.3
20,Johnny Baum\baumjo01,1974,1974,1,13,113,17,36,0,0,2,4,12,25,2,6,2,6,17,36,.472,,.500,8.7,2.8,1.9,0.2
21,Arthur Becker\beckear01,1970,1971,2,133,2344,496,969,4,7,173,206,181,596,67,,,102,402,1169,.512,.571,.840,17.6,8.8,4.5,0.5
22,Ron Behagen\behagro01,1978,1978,1,51,1131,222,544,,,128,176,146,333,65,32,19,113,160,572,.408,,.727,22.2,11.2,6.5,1.3
23,Jonathan Bender\bendejo01,2000,2006,7,237,3555,469,1121,87,258,310,412,138,530,154,41,152,230,358,1335,.418,.337,.752,15.0,5.6,2.2,0.6
24,Mel Bennett\benneme01,1977,1978,2,98,1196,124,375,,,140,232,159,330,92,48,40,30,209,388,.331,,.603,12.2,4.0,3.4,0.9
25,Travis Best\besttr01,1996,2002,7,469,10327,1405,3181,193,533,806,982,158,846,1785,488,39,682,1156,3809,.442,.362,.821,22.0,8.1,1.8,3.8
26,Bojan Bogdanovic\bogdabo02,2018,2019,2,85,2606,427,895,166,403,185,213,32,292,120,55,8,116,136,1205,.477,.412,.869,30.7,14.2,3.4,1.4
27,Etdrick Bohannon\bohanet01,1998,1998,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,.000,,,2.2,0.0,1.2,0.2
28,Ron Bonham\bonharo01,1968,1968,1,42,426,80,210,0,2,85,105,,57,14,,,32,36,245,.381,.000,.810,10.1,5.8,1.4,0.3
29,Trevor Booker\booketr01,2018,2018,1,17,269,39,84,3,14,10,11,32,77,17,4,5,9,26,91,.464,.214,.909,15.8,5.4,4.5,1.0
30,Dudley Bradley\bradldu01,1980,1981,2,164,3894,540,1168,4,21,261,352,139,416,440,397,85,288,430,1345,.462,.190,.741,23.7,8.2,2.5,2.7
31,Brad Branson\bransbr01,1983,1983,1,62,680,131,308,0,1,76,108,73,173,46,27,26,45,81,338,.425,.000,.704,11.0,5.5,2.8,0.7
32,Jamison Brewer\breweja01,2002,2004,3,36,283,24,57,5,17,5,15,9,28,44,11,1,19,23,58,.421,.294,.333,7.9,1.6,0.8,1.2
33,Primoz Brezec\brezepr01,2002,2004,3,62,343,41,93,0,1,31,51,34,66,13,2,14,19,57,113,.441,.000,.608,5.5,1.8,1.1,0.2
34,Aaron Brooks\brookaa01,2017,2017,1,65,894,121,300,48,128,32,40,18,69,125,25,9,66,93,322,.403,.375,.800,13.8,5.0,1.1,1.9
35,Michael Brooks\brookmi01,1987,1987,1,10,148,13,37,0,0,7,10,9,28,11,9,0,11,19,33,.351,,.700,14.8,3.3,2.8,1.1
36,Roger Brown\brownro01,1968,1975,8,559,20315,3699,7852,280,883,2380,3006,975,3609,2214,63,61,1414,1849,10058,.471,.317,.792,36.3,18.0,6.5,4.0
37,Tony Brown\brownto01,1985,1985,1,82,1586,214,465,0,6,116,171,146,288,159,59,12,116,212,544,.460,.000,.678,19.3,6.6,3.5,1.9
38,Quinn Buckner\bucknqu01,1986,1986,1,32,419,49,104,0,1,19,27,9,51,86,40,3,55,80,117,.471,.000,.704,13.1,3.7,1.6,2.7
39,Chase Budinger\budinch01,2016,2016,1,49,729,81,194,20,69,34,48,31,121,49,29,9,31,46,216,.418,.290,.708,14.9,4.4,2.5,1.0
40,Don Buse\busedo01,1973,1982,7,539,15681,1641,3785,243,709,620,791,486,1635,2737,1177,117,528,961,4145,.434,.343,.784,29.1,7.7,3.0,5.1
41,Rasual Butler\butlera01,2014,2014,1,50,378,51,110,26,62,8,14,6,41,17,7,9,11,30,136,.464,.419,.571,7.6,2.7,0.8,0.3
42,Andrew Bynum\bynuman01,2014,2014,1,2,36,9,22,0,0,5,7,6,19,2,0,1,4,3,23,.409,,.714,18.0,11.5,9.5,1.0
43,Marty Byrnes\byrnema01,1983,1983,1,80,1436,157,374,6,26,71,95,75,191,179,41,6,73,149,391,.420,.231,.747,18.0,4.9,2.4,2.2
44,Adrian Caldwell\caldwad01,1996,1996,1,51,327,46,83,0,0,18,36,42,110,6,9,5,35,73,110,.554,,.500,6.4,2.2,2.2,0.1
45,Corky Calhoun\calhoco01,1979,1980,2,88,1362,157,344,0,0,72,88,71,248,104,39,19,57,195,386,.456,,.818,15.5,4.4,2.8,1.2
46,Larry Cannon\cannola01,1972,1974,2,31,504,70,182,1,6,52,74,16,36,75,0,0,45,63,193,.385,.167,.703,16.3,6.2,1.2,2.4
47,Bob Carrington\carribo01,1978,1978,1,35,621,96,197,,,58,74,28,62,62,22,11,52,73,250,.487,,.784,17.7,7.1,1.8,1.8
48,Butch Carter\cartebu01,1982,1984,3,229,4796,955,1970,40,122,318,402,162,382,460,240,37,313,528,2268,.485,.328,.791,20.9,9.9,1.7,2.0
49,Ron Carter\cartero01,1980,1980,1,13,117,15,37,0,0,2,7,5,19,9,2,3,10,19,32,.405,,.286,9.0,2.5,1.5,0.7
50,Wayne Chapman\chapmwa01,1971,1972,2,29,268,37,96,5,11,27,35,14,36,32,,,21,41,106,.385,.455,.771,9.2,3.7,1.2,1.1
51,Phil Chenier\cheniph01,1980,1980,1,23,380,52,135,2,6,18,26,9,35,47,15,10,26,29,124,.385,.333,.692,16.5,5.4,1.5,2.0
52,Rakeem Christmas\chrisra01,2016,2017,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1
53,Stephen Chubin\chubist01,1969,1970,2,56,1106,142,338,3,10,179,222,63,136,194,,,149,177,466,.420,.300,.806,19.8,8.3,2.4,3.5
54,Darren Collison\collida01,2011,2019,4,213,6373,956,2063,174,433,462,537,108,599,1078,234,43,403,341,2548,.463,.402,.860,29.9,12.0,2.8,5.1
55,Leroy Combs\combsle01,1984,1984,1,48,446,81,163,0,3,56,91,19,56,38,23,18,46,49,218,.497,.000,.615,9.3,4.5,1.2,0.8
56,Lester Conner\connele01,1994,1994,1,11,169,14,38,0,3,3,6,10,24,31,14,1,9,12,31,.368,.000,.500,15.4,2.8,2.2,2.8
57,Chris Copeland\copelch01,2014,2015,2,91,1093,167,427,85,246,43,59,30,143,69,14,18,73,116,462,.391,.346,.729,12.0,5.1,1.6,0.8
58,Austin Croshere\croshau01,1998,2006,9,540,10196,1338,3261,376,1095,983,1140,623,2325,544,222,203,595,961,4035,.410,.343,.862,18.9,7.5,4.3,1.0
59,Michael Curry\currymi01,2005,2005,1,18,249,13,29,0,0,4,8,8,27,15,5,4,5,39,30,.448,,.500,13.8,1.7,1.5,0.8
60,Erick Dampier\dampier01,1997,1997,1,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,.390,1.000,.637,14.6,5.1,4.1,0.6
