,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
282,Tom Owens\owensto01,1976,1976,1,39,538,90,182,0,0,46,60,54,155,41,3,13,29,97,226,.495,,.767,13.8,5.8,4.0,1.1
283,Tony Parker\parketo01,2002,2018,17,1198,37276,7564,15367,506,1552,3309,4401,427,3313,6829,1032,91,2790,2006,18943,.492,.326,.752,31.1,15.8,2.8,5.7
284,Cherokee Parks\parksch02,2002,2002,1,42,234,30,83,0,0,3,8,24,58,10,7,8,14,34,63,.361,,.375,5.6,1.5,1.4,0.2
285,Zarko Paspalj\paspaza01,1990,1990,1,28,181,27,79,0,1,18,22,15,30,10,3,7,21,37,72,.342,.000,.818,6.5,2.6,1.1,0.4
286,Brandon Paul\paulbr01,2018,2018,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,.433,.278,.512,9.0,2.3,1.1,0.6
287,Billy Paultz\paultbi01,1976,1983,6,378,11591,2205,4371,0,3,887,1246,848,3203,1076,245,796,619,1061,5297,.504,.000,.712,30.7,14.0,8.5,2.8
288,John Paxson\paxsojo01,1984,1985,2,127,1717,257,522,14,56,100,126,23,101,364,55,5,113,164,628,.492,.250,.794,13.5,4.9,0.8,2.9
289,Wiley Peck\peckwi01,1980,1980,1,52,628,73,169,0,2,34,55,66,183,33,17,23,48,100,180,.432,.000,.618,12.1,3.5,3.5,0.6
290,Rich Peek\peekri01,1968,1968,1,51,759,101,209,0,0,35,65,,197,22,,,49,94,237,.483,,.538,14.9,4.6,3.9,0.4
291,George Peeples\peeplge01,1972,1972,1,6,125,11,25,0,0,7,11,15,35,5,,,9,10,29,.440,,.636,20.8,4.8,5.8,0.8
292,Will Perdue\perduwi01,1996,1999,4,261,5250,606,1096,0,2,250,455,636,1796,146,91,237,276,567,1462,.553,.000,.549,20.1,5.6,6.9,0.6
293,Chuck Person\persoch01,1995,1998,3,222,5619,768,1853,457,1184,161,243,142,875,292,123,48,260,516,2154,.414,.386,.663,25.3,9.7,3.9,1.3
294,Roger Phegley\pheglro01,1982,1984,3,119,1227,251,564,5,33,94,122,72,169,123,50,14,83,184,601,.445,.152,.770,10.3,5.1,1.4,1.0
295,Gene Phillips\phillge01,1972,1973,2,31,184,30,81,7,20,11,14,4,21,14,,,8,26,78,.370,.350,.786,5.9,2.5,0.7,0.5
296,Jakob Poeltl\poeltja01,2019,2019,1,3,34,3,6,0,0,0,0,8,11,4,0,0,2,5,6,.500,,,11.3,2.0,3.7,1.3
297,Quincy Pondexter\pondequ01,2019,2019,1,2,9,1,3,0,1,0,0,2,2,0,2,0,1,1,2,.333,.000,,4.5,1.0,1.0,0.0
298,Terry Porter\portete01,2000,2002,3,220,4585,540,1224,236,554,297,369,60,556,677,147,36,289,256,1613,.441,.426,.805,20.8,7.3,2.5,3.1
299,Cincinnatus Powell\powelci01,1968,1970,3,228,7721,1650,3468,5,23,1087,1485,396,2047,471,,,653,779,4392,.476,.217,.732,33.9,19.3,9.0,2.1
300,Paul Pressey\presspa01,1991,1992,2,126,2442,261,587,19,78,138,174,72,271,413,92,51,194,260,679,.445,.244,.793,19.4,5.4,2.2,3.3
301,Bob Quick\quickbo01,1972,1972,1,6,57,8,15,0,0,10,10,6,14,1,,,4,9,26,.533,,1.000,9.5,4.3,2.3,0.2
302,Chris Quinn\quinnch01,2011,2011,1,41,292,33,91,11,37,4,8,3,25,42,5,1,12,29,81,.363,.297,.500,7.1,2.0,0.6,1.0
303,Ed Rains\rainsed01,1982,1983,2,83,929,110,260,0,3,67,107,62,124,62,28,3,50,109,287,.423,.000,.626,11.2,3.5,1.5,0.7
304,Theo Ratliff\ratlith01,2010,2010,1,21,183,16,36,0,0,2,4,15,40,9,3,18,16,27,34,.444,,.500,8.7,1.6,1.9,0.4
