,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
51,Roger Brown\brownro02,1976,1977,2,72,776,50,128,,,32,44,78,220,24,21,43,,144,132,.391,,.727,10.8,1.8,3.1,0.3
52,Jud Buechler\buechju01,1999,2001,3,165,2450,231,560,111,308,24,37,79,318,129,83,39,59,216,597,.413,.360,.649,14.8,3.6,1.9,0.8
53,Reggie Bullock\bullore01,2016,2019,4,133,2731,377,809,178,422,67,81,56,292,161,76,20,70,125,999,.466,.422,.827,20.5,7.5,2.2,1.2
54,Bill Buntin\buntibi01,1966,1966,1,42,713,118,299,,,88,143,,252,36,,,,119,324,.395,,.615,17.0,7.7,6.0,0.9
55,Art Burris\burriar01,1951,1952,2,62,245,46,188,,,28,48,,155,38,,,,90,120,.245,,.583,8.4,1.9,2.5,0.6
56,Donnie Butcher\butchdo01,1964,1966,3,138,2995,353,841,,,261,428,,495,330,,,,419,967,.420,,.610,21.7,7.0,3.6,2.4
57,Caron Butler\butleca01,2015,2015,1,78,1623,161,396,83,219,55,61,21,196,79,43,4,49,120,460,.407,.379,.902,20.8,5.9,2.5,1.0
58,Dwight Buycks\buyckdw01,2018,2018,1,29,427,82,198,15,45,36,41,12,41,59,19,2,39,39,215,.414,.333,.878,14.7,7.4,1.4,2.0
59,Will Bynum\bynumwi01,2009,2014,6,338,6382,1086,2446,82,291,591,735,120,543,1148,248,28,556,651,2845,.444,.282,.804,18.9,8.4,1.6,3.4
60,Barney Cable\cableba01,1959,1960,2,38,387,65,186,,,27,39,,136,18,,,,49,157,.349,,.692,10.2,4.1,3.6,0.5
61,Jose Calderon\caldejo01,2013,2019,2,29,891,125,238,51,98,25,28,6,71,185,30,2,51,42,326,.525,.520,.893,30.7,11.2,2.4,6.4
62,Joe Caldwell\caldwjo01,1965,1966,2,99,2259,433,1114,,,189,298,,631,183,,,,234,1055,.389,,.634,22.8,10.7,6.4,1.8
63,Kentavious Caldwell-Pope\caldwke01,2014,2017,4,314,9488,1345,3320,479,1435,496,632,209,941,495,367,59,313,591,3665,.405,.334,.785,30.2,11.7,3.0,1.6
64,Elden Campbell\campbel01,2004,2005,2,95,1232,177,430,0,2,125,175,77,291,61,29,56,91,184,479,.412,.000,.714,13.0,5.0,3.1,0.6
65,Tony Campbell\campbto01,1985,1987,3,178,2249,481,1015,2,13,138,182,145,383,88,102,11,189,311,1102,.474,.154,.758,12.6,6.2,2.2,0.5
66,Brian Cardinal\cardibr01,2001,2002,2,23,169,16,44,3,12,13,20,10,29,5,8,2,9,32,48,.364,.250,.650,7.3,2.1,1.3,0.2
67,Bob Carpenter\carpebo01,1950,1951,2,87,,239,741,,,237,314,,62,108,,,,204,715,.323,,.755,,8.2,3.0,1.2
68,Kenny Carr\carrke01,1982,1982,1,28,444,77,168,0,1,53,82,53,137,23,6,6,40,69,207,.458,.000,.646,15.9,7.4,4.9,0.8
69,M.L. Carr\carrml01,1977,1979,3,241,8406,1420,2931,,,728,985,632,1777,628,509,131,465,809,3568,.484,,.739,34.9,14.8,7.4,2.6
70,George Carter\cartege01,1968,1968,1,1,5,1,2,,,1,1,,0,1,,,,0,3,.500,,1.000,5.0,3.0,0.0,1.0
71,Cornelius Cash\cashco01,1977,1977,1,6,49,9,23,,,3,6,8,16,1,2,1,,8,21,.391,,.500,8.2,3.5,2.7,0.2
72,Kelvin Cato\catoke01,2006,2006,1,4,34,5,12,0,0,0,0,1,7,2,0,2,2,4,10,.417,,,8.5,2.5,1.8,0.5
73,Cedric Ceballos\cebalce01,2001,2001,1,13,166,28,71,11,40,8,10,7,26,7,6,3,9,19,75,.394,.275,.800,12.8,5.8,2.0,0.5
74,Len Chappell\chapple01,1968,1968,1,57,999,220,428,,,130,184,,346,48,,,,113,570,.514,,.707,17.5,10.0,6.1,0.8
75,Pete Chilcutt\chilcpe01,1994,1994,1,30,391,51,120,3,14,10,13,29,100,15,10,11,18,48,115,.425,.214,.769,13.0,3.8,3.3,0.5
76,Randolph Childress\childra01,1997,1997,1,4,30,4,10,2,3,0,0,0,1,2,2,0,5,5,10,.400,.667,,7.5,2.5,0.3,0.5
77,Archie Clark\clarkar01,1976,1976,1,79,1589,250,577,,,100,116,27,137,218,62,4,,157,600,.433,,.862,20.1,7.6,1.7,2.8
78,Mateen Cleaves\cleavma01,2001,2001,1,78,1268,160,400,5,17,97,137,26,132,207,49,1,139,153,422,.400,.294,.708,16.3,5.4,1.7,2.7
79,Nat Clifton\cliftna01,1958,1958,1,68,1435,217,597,,,91,146,,403,76,,,,202,525,.363,,.623,21.1,7.7,5.9,1.1
80,Bill Closs\clossbi01,1952,1952,1,57,1120,120,389,,,107,157,,204,76,,,,125,347,.308,,.682,19.6,6.1,3.6,1.3
81,Ben Coleman\colembe01,1994,1994,1,9,77,12,25,0,0,4,8,10,26,0,2,2,7,9,28,.480,,.500,8.6,3.1,2.9,0.0
82,Derrick Coleman\colemde01,2005,2005,1,5,50,3,14,0,2,3,3,3,15,0,0,0,2,6,9,.214,.000,1.000,10.0,1.8,3.0,0.0
83,Ed Conlin\conlied01,1959,1960,2,85,1990,368,1006,,,222,301,,437,143,,,,190,958,.366,,.738,23.4,11.3,5.1,1.7
84,Chuck Cooper\coopech01,1956,1956,1,32,570,43,136,,,38,49,,101,28,,,,69,124,.316,,.776,17.8,3.9,3.2,0.9
85,Ray Corley\corlera01,1953,1953,1,8,65,3,24,,,5,6,,5,5,,,,18,11,.125,,.833,8.1,1.4,0.6,0.6
86,Ron Crevier\creviro01,1986,1986,1,2,3,0,2,0,0,0,2,1,1,0,0,0,0,2,0,.000,,.000,1.5,0.0,0.5,0.0
87,Dillard Crocker\crockdi01,1949,1949,1,2,,1,4,,,4,6,,,0,,,,3,6,.250,,.667,,3.0,,0.0
88,John Crotty\crottjo01,2000,2000,1,69,937,106,251,33,80,80,93,17,75,128,27,5,54,104,325,.422,.413,.860,13.6,4.7,1.1,1.9
89,Earl Cureton\curetea01,1984,1986,3,234,4566,573,1169,0,6,230,414,453,1210,256,138,131,319,598,1376,.490,.000,.556,19.5,5.9,5.2,1.1
90,Bill Curley\curlebi01,1995,1995,1,53,595,58,134,0,0,27,36,54,124,25,21,21,25,128,143,.433,,.750,11.2,2.7,2.3,0.5
91,Michael Curry\currymi01,1996,2003,6,432,8529,713,1575,71,221,449,543,121,719,519,205,36,288,969,1946,.453,.321,.827,19.7,4.5,1.7,1.2
92,Adrian Dantley\dantlad01,1987,1989,3,192,6221,1303,2484,1,8,1287,1541,241,723,426,125,23,397,436,3894,.525,.125,.835,32.4,20.3,3.8,2.2
93,Luigi Datome\datomlu01,2014,2015,2,37,255,39,109,8,43,8,10,15,50,13,7,1,13,21,94,.358,.186,.800,6.9,2.5,1.4,0.4
94,Kornel David\davidko01,2001,2001,1,10,69,10,22,0,0,0,0,6,19,3,4,1,4,8,20,.455,,,6.9,2.0,1.9,0.3
95,Dale Davis\davisda01,2006,2007,2,74,642,42,98,0,1,25,41,80,190,18,10,43,19,82,109,.429,.000,.610,8.7,1.5,2.6,0.2
96,Hubert Davis\davishu01,2003,2004,2,46,351,31,81,12,37,5,6,6,36,30,5,0,12,27,79,.383,.324,.833,7.6,1.7,0.8,0.7
97,Jim Davis\davisji01,1972,1975,4,282,3480,487,1051,,,311,468,198,1035,270,89,66,,519,1285,.463,,.665,12.3,4.6,3.7,1.0
98,Darryl Dawkins\dawkida01,1988,1989,2,16,55,10,21,0,0,11,21,3,7,2,0,2,7,17,31,.476,,.524,3.4,1.9,0.4,0.1
99,Johnny Dawkins\dawkijo01,1995,1995,1,50,1170,125,270,25,73,50,55,28,113,205,52,1,86,74,325,.463,.342,.909,23.4,6.5,2.3,4.1
100,Austin Daye\dayeau01,2010,2013,4,206,3312,446,1090,132,369,178,225,122,602,166,91,94,160,384,1202,.409,.358,.791,16.1,5.8,2.9,0.8
101,Dave DeBusschere\debusda01,1963,1969,7,440,15235,2783,6553,,,1530,2222,,4947,1152,,,,1485,7096,.425,,.689,34.6,16.1,11.2,2.6
102,Archie Dees\deesar01,1960,1961,2,101,1552,324,752,,,204,251,,491,60,,,,238,852,.431,,.813,15.4,8.4,4.9,0.6
103,Bison Dele\delebi01,1998,1999,2,127,3796,747,1471,1,4,279,398,315,967,165,105,95,292,433,1774,.508,.250,.701,29.9,14.0,7.6,1.3
104,Carlos Delfino\delfica01,2005,2007,3,180,2557,289,719,75,233,138,196,108,434,170,89,29,120,227,791,.402,.322,.704,14.2,4.4,2.4,0.9
105,Tony Delk\delkto01,2006,2006,1,23,378,71,160,20,47,18,25,13,51,33,13,1,19,28,180,.444,.426,.720,16.4,7.8,2.2,1.4
