,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
47,Bill Cartwright\cartwbi01,1995,1995,1,29,430,27,69,0,0,15,24,25,87,10,6,3,18,70,69,.391,,.625,14.8,2.4,3.0,0.3
48,Tom Chambers\chambto01,1984,1988,5,393,13210,2886,6150,106,336,2150,2603,807,2577,931,340,248,1123,1473,8028,.469,.315,.826,33.6,20.4,6.6,2.4
49,Mike Champion\champmi01,1989,1989,1,2,4,0,3,0,1,0,0,0,0,0,0,0,1,2,0,.000,.000,,2.0,0.0,0.0,0.0
50,Semaj Christon\chrisse01,2017,2017,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0
51,Archie Clark\clarkar01,1975,1975,1,77,2481,455,919,,,161,193,59,235,433,110,5,,188,1071,.495,,.834,32.2,13.9,3.1,5.6
52,Mateen Cleaves\cleavma01,2005,2006,2,41,295,30,85,4,18,22,28,4,20,49,5,2,16,32,86,.353,.222,.786,7.2,2.1,0.5,1.2
53,Barry Clemens\clemeba01,1970,1972,3,238,4220,769,1605,,,270,344,,847,272,,,,555,1808,.479,,.785,17.7,7.6,3.6,1.1
54,Norris Cole\coleno01,2017,2017,1,13,125,16,52,3,13,8,10,0,11,14,8,0,7,18,43,.308,.231,.800,9.6,3.3,0.8,1.1
55,Nick Collison\collini01,2005,2018,14,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,.534,.208,.723,20.4,5.9,5.2,1.0
56,Marty Conlon\conloma01,1992,1992,1,45,381,48,101,0,0,24,32,33,69,12,9,7,27,40,120,.475,,.750,8.5,2.7,1.5,0.3
57,Daequan Cook\cookda02,2011,2012,2,100,1587,188,477,144,382,30,42,20,194,35,36,12,33,120,550,.394,.377,.714,15.9,5.5,1.9,0.4
58,Joe Cooper\coopejo01,1985,1985,1,3,45,7,15,0,0,3,6,3,9,2,2,1,0,7,17,.467,,.500,15.0,5.7,3.0,0.7
59,Dave Corzine\corzida01,1991,1991,1,28,147,17,38,0,0,13,22,10,33,4,5,5,2,18,47,.447,,.591,5.3,1.7,1.2,0.1
60,James Cotton\cottoja02,1998,1999,2,19,92,14,39,0,7,21,27,4,16,0,4,1,9,9,49,.359,.000,.778,4.8,2.6,0.8,0.0
61,Pete Cross\crosspe01,1971,1973,3,179,3751,403,930,,,251,361,,1515,187,,,,371,1057,.433,,.695,21.0,5.9,8.5,1.0
62,John Crotty\crottjo01,1999,1999,1,24,363,47,116,13,35,40,47,8,30,58,9,0,33,30,147,.405,.371,.851,15.1,6.1,1.3,2.4
63,Terry Cummings\cummite01,1997,1997,1,45,828,155,319,3,5,57,82,70,183,39,33,7,45,113,370,.486,.600,.695,18.4,8.2,4.1,0.9
64,Quintin Dailey\dailequ01,1990,1992,3,71,888,179,432,1,7,103,144,31,95,54,24,2,63,94,462,.414,.143,.715,12.5,6.5,1.3,0.8
65,Antonio Daniels\daniean01,2004,2005,2,146,3538,460,1021,91,281,403,488,43,311,607,96,9,139,142,1414,.451,.324,.826,24.2,9.7,2.1,4.2
66,Emanual Davis\davisem01,2000,2001,2,116,1991,213,538,81,230,71,93,43,254,207,102,17,121,173,578,.396,.352,.763,17.2,5.0,2.2,1.8
67,Rod Derline\derliro01,1975,1976,2,107,1005,215,513,,,88,112,20,86,71,34,5,,69,518,.419,,.786,9.4,4.8,0.8,0.7
68,Hamidou Diallo\diallha01,2019,2019,1,4,58,10,19,1,2,3,5,5,10,3,4,3,2,9,24,.526,.500,.600,14.5,6.0,2.5,0.8
69,James Donaldson\donalja01,1981,1983,3,232,4479,673,1153,0,0,402,628,376,1300,190,54,314,315,436,1748,.584,,.640,19.3,7.5,5.6,0.8
70,Jacky Dorsey\dorseja01,1981,1981,1,29,253,20,70,0,0,13,25,23,88,9,9,1,14,47,53,.286,,.520,8.7,1.8,3.0,0.3
71,PJ Dozier\doziepj01,2018,2018,1,2,3,1,2,0,0,0,0,0,1,0,0,0,1,1,2,.500,,,1.5,1.0,0.5,0.0
