,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
195,Roko Ukic\ukicro01,2009,2009,1,72,890,123,324,11,62,44,60,27,75,153,30,2,60,77,301,.380,.177,.733,12.4,4.2,1.0,2.1
196,Ben Uzoh\uzohbe01,2012,2012,1,16,357,33,94,0,1,11,19,17,63,59,16,3,19,30,77,.351,.000,.579,22.3,4.8,3.9,3.7
197,Jonas Valanciunas\valanjo01,2013,2019,7,445,11303,2043,3657,33,83,1080,1375,1167,3788,329,167,459,649,1240,5199,.559,.398,.785,25.4,11.7,8.5,0.7
198,Fred VanVleet\vanvlfr01,2017,2019,3,117,1913,289,699,123,306,108,134,31,238,299,85,22,94,175,809,.413,.402,.806,16.4,6.9,2.0,2.6
199,Greivis Vasquez\vasqugr01,2014,2015,2,143,3305,508,1233,226,590,115,142,37,355,530,71,14,220,282,1357,.412,.383,.810,23.1,9.5,2.5,3.7
200,Charlie Villanueva\villach01,2006,2006,1,81,2361,435,940,70,214,113,160,181,521,88,60,63,99,247,1053,.463,.327,.706,29.1,13.0,6.4,1.1
201,Jake Voskuhl\voskuja01,2009,2009,1,38,240,12,45,0,0,11,14,21,59,8,3,4,17,60,35,.267,,.786,6.3,0.9,1.6,0.2
202,John Wallace\wallajo01,1998,1999,2,130,3173,621,1333,1,2,315,443,171,544,156,74,144,242,331,1558,.466,.500,.711,24.4,12.0,4.2,1.2
203,Sonny Weems\weemsso01,2010,2011,2,128,2781,464,971,19,76,116,158,81,345,205,73,27,151,213,1063,.478,.250,.734,21.7,8.3,2.7,1.6
204,Donald Whiteside\whitedo01,1997,1997,1,27,259,18,55,12,36,11,15,2,12,36,11,0,17,23,59,.327,.333,.733,9.6,2.2,0.4,1.3
205,Dwayne Whitfield\whitfdw01,1996,1996,1,8,122,13,30,0,0,14,22,9,25,2,3,2,8,14,40,.433,,.636,15.3,5.0,3.1,0.3
206,Aaron Williams\williaa01,2005,2006,2,37,264,25,55,0,0,11,13,15,44,3,5,6,11,73,61,.455,,.846,7.1,1.6,1.2,0.1
207,Alvin Williams\willial02,1998,2006,8,417,11736,1555,3710,201,639,565,739,232,1079,1791,517,107,570,837,3876,.419,.315,.765,28.1,9.3,2.6,4.3
208,Eric Williams\willier01,2005,2006,2,62,935,84,220,16,51,66,91,26,127,65,29,4,41,122,250,.382,.314,.725,15.1,4.0,2.0,1.0
209,Herb Williams\willihe01,1996,1996,1,1,31,3,8,0,0,0,0,1,8,0,1,2,0,4,6,.375,,,31.0,6.0,8.0,0.0
210,Jerome Williams\willije01,2001,2004,4,180,4772,533,1073,1,8,350,559,466,1268,194,231,64,205,423,1417,.497,.125,.626,26.5,7.9,7.0,1.1
211,Lou Williams\willilo02,2015,2015,1,80,2016,375,928,152,447,340,395,24,151,164,88,10,101,103,1242,.404,.340,.861,25.2,15.5,1.9,2.1
212,Micheal Williams\willimi02,1999,1999,1,2,15,1,5,0,0,0,0,1,1,0,0,0,1,1,2,.200,,,7.5,1.0,0.5,0.0
213,Walt Williams\williwa02,1997,1998,2,101,3523,544,1301,224,566,235,303,130,485,266,137,85,226,382,1547,.418,.396,.776,34.9,15.3,4.8,2.6
214,Corliss Williamson\willico02,2001,2001,1,42,886,153,325,0,2,84,130,57,153,33,15,13,65,98,390,.471,.000,.646,21.1,9.3,3.6,0.8
215,Kevin Willis\willike02,1999,2001,3,156,3666,547,1285,1,7,322,400,378,1055,137,83,97,224,468,1417,.426,.143,.805,23.5,9.1,6.8,0.9
216,Loren Woods\woodslo01,2005,2006,2,72,1036,99,223,0,2,40,73,125,330,21,17,62,53,127,238,.444,.000,.548,14.4,3.3,4.6,0.3
217,Haywoode Workman\workmha01,2000,2000,1,13,102,8,28,3,14,1,2,0,9,17,9,0,4,14,20,.286,.214,.500,7.8,1.5,0.7,1.3
218,Antoine Wright\wrighan01,2010,2010,1,67,1392,162,399,58,173,53,77,38,190,71,30,11,58,134,435,.406,.335,.688,20.8,6.5,2.8,1.1
219,Delon Wright\wrighde01,2016,2019,4,124,2113,286,628,71,196,165,207,69,283,288,107,48,119,119,808,.455,.362,.797,17.0,6.5,2.3,2.3
220,Julian Wright\wrighju01,2011,2011,1,52,766,82,160,2,10,22,43,47,118,58,39,20,43,45,188,.513,.200,.512,14.7,3.6,2.3,1.1
221,Sharone Wright\wrighsh01,1996,1998,3,78,1351,233,545,1,4,120,210,104,252,43,21,60,123,191,587,.428,.250,.571,17.3,7.5,3.2,0.6
