,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Don Ackerman\ackerdo01,1954,1954,1,28,220,14,63,,,15,28,,15,23,,,,43,43,.222,,.536,7.9,1.5,0.5,0.8
2,Quincy Acy\acyqu01,2015,2015,1,68,1287,152,331,18,60,76,97,79,301,68,27,22,60,147,398,.459,.300,.784,18.9,5.9,4.4,1.0
3,Arron Afflalo\afflaar01,2016,2016,1,71,2371,354,799,91,238,110,131,23,266,144,25,10,82,142,909,.443,.382,.840,33.4,12.8,3.7,2.0
4,Henry Akin\akinhe01,1967,1967,1,50,453,83,230,,,26,37,,120,25,,,,82,192,.361,,.703,9.1,3.8,2.4,0.5
5,Cole Aldrich\aldrico01,2014,2015,2,107,1306,177,362,0,0,76,94,138,467,89,45,95,77,162,430,.489,,.809,12.2,4.0,4.4,0.8
6,Lou Amundson\amundlo01,2015,2016,2,70,1062,124,296,0,1,52,109,112,297,77,27,59,72,159,300,.419,.000,.477,15.2,4.3,4.2,1.1
7,Bob Anderegg\anderbo01,1960,1960,1,33,373,55,143,,,23,42,,69,29,,,,32,133,.385,,.548,11.3,4.0,2.1,0.9
8,Eric Anderson\anderer01,1993,1994,2,27,83,12,35,2,2,16,27,12,31,5,3,2,7,23,42,.343,1.000,.593,3.1,1.6,1.1,0.2
9,Shandon Anderson\andersh01,2002,2005,4,245,5321,635,1476,127,410,336,458,175,726,285,189,52,330,495,1733,.430,.310,.734,21.7,7.1,3.0,1.2
10,Willie Anderson\anderwi01,1996,1996,1,27,496,56,133,5,25,19,31,13,60,48,17,8,24,59,136,.421,.200,.613,18.4,5.0,2.2,1.8
