,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
14,D.J. Augustin\augusdj01,2009,2012,4,282,7545,1017,2501,350,936,684,781,90,564,1248,177,11,458,484,3068,.407,.374,.876,26.8,10.9,2.0,4.4
15,Dwayne Bacon\bacondw01,2018,2019,2,54,721,74,197,12,45,22,27,4,124,39,16,2,23,48,182,.376,.267,.815,13.4,3.4,2.3,0.7
16,Nicolas Batum\batumni01,2016,2019,4,216,7223,1055,2549,376,1106,518,611,162,1240,1225,222,98,540,301,3004,.414,.340,.848,33.4,13.9,5.7,5.7
17,Lonny Baxter\baxtelo01,2006,2006,1,18,119,12,32,0,0,12,16,7,33,2,2,1,7,8,36,.375,,.750,6.6,2.0,1.8,0.1
18,Corey Beck\beckco01,1996,1999,3,80,921,89,198,3,5,50,74,33,120,123,41,9,85,129,231,.449,.600,.676,11.5,2.9,1.5,1.5
19,Marco Belinelli\belinma01,2017,2017,1,74,1778,264,615,102,283,150,168,14,178,147,44,9,70,90,780,.429,.360,.893,24.0,10.5,2.4,2.0
20,Raja Bell\bellra01,2009,2010,2,50,1760,247,562,79,201,74,84,38,200,123,41,8,73,122,647,.440,.393,.881,35.2,12.9,4.0,2.5
21,Tony Bennett\benneto01,1993,1995,3,152,1886,221,536,55,164,41,56,28,155,303,69,1,93,200,538,.412,.335,.732,12.4,3.5,1.0,2.0
22,Bismack Biyombo\biyombi01,2012,2019,5,286,5970,476,958,0,0,293,553,573,1726,87,73,444,245,605,1245,.497,,.530,20.9,4.4,6.0,0.3
23,James Blackwell\blackja01,1995,1995,1,4,19,2,3,0,0,0,0,0,3,5,1,0,2,1,4,.667,,,4.8,1.0,0.8,1.3
24,Keith Bogans\boganke01,2005,2006,2,113,2639,376,976,90,271,213,288,105,332,180,107,11,163,245,1055,.385,.332,.740,23.4,9.3,2.9,1.6
