,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
214,Karl-Anthony Towns\townska01,2016,2019,4,251,8734,2092,3866,260,668,945,1127,771,2923,588,180,366,568,791,5389,.541,.389,.839,34.8,21.5,11.6,2.3
215,Gary Trent\trentga01,2002,2004,3,212,3387,556,1098,0,10,221,336,293,777,186,65,67,171,431,1333,.506,.000,.658,16.0,6.3,3.7,0.9
216,Nikoloz Tskitishvili\tskitni01,2006,2006,1,5,13,1,4,0,0,1,2,0,2,0,0,0,2,0,3,.250,,.500,2.6,0.6,0.4,0.0
217,Alando Tucker\tuckeal02,2010,2010,1,4,25,4,9,0,0,0,0,1,3,1,0,0,1,1,8,.444,,,6.3,2.0,0.8,0.3
218,Ronny Turiaf\turiaro01,2014,2015,2,33,625,64,107,0,0,21,50,55,175,26,8,50,24,65,149,.598,,.420,18.9,4.5,5.3,0.8
219,Gundars Vetra\vetragu01,1993,1993,1,13,89,19,40,3,3,4,6,4,8,6,2,0,2,12,45,.475,1.000,.667,6.8,3.5,0.6,0.5
220,Stojko Vrankovic\vrankst01,1997,1997,1,53,766,78,139,0,0,25,37,57,168,14,10,67,52,121,181,.561,,.676,14.5,3.4,3.2,0.3
221,Antoine Walker\walkean02,2008,2008,1,46,892,136,375,61,188,35,66,56,168,45,33,8,46,80,368,.363,.324,.530,19.4,8.0,3.7,1.0
222,Spud Webb\webbsp01,1996,1996,1,26,645,82,208,29,72,51,58,7,40,154,25,5,59,41,244,.394,.403,.879,24.8,9.4,1.5,5.9
223,Martell Webster\webstma02,2011,2012,2,93,2234,267,612,92,241,151,194,78,315,93,59,26,104,187,777,.436,.382,.778,24.0,8.4,3.4,1.0
224,Doug West\westdo01,1990,1998,9,609,15603,2530,5225,37,187,1119,1398,505,1559,1216,428,170,788,1723,6216,.484,.198,.800,25.6,10.2,2.6,2.0
225,DeJuan Wheat\wheatde01,1998,1998,1,34,150,20,50,8,17,9,15,3,11,25,6,1,9,12,57,.400,.471,.600,4.4,1.7,0.3,0.7
226,Andrew Wiggins\wiggian01,2015,2019,5,331,11950,2391,5352,316,959,1412,1903,425,1363,691,342,177,690,712,6510,.447,.330,.742,36.1,19.7,4.1,2.1
227,Damien Wilkins\wilkida02,2010,2010,1,80,1585,165,381,18,61,103,129,72,249,135,66,25,76,144,451,.433,.295,.798,19.8,5.6,3.1,1.7
228,Mike Wilks\wilksmi01,2003,2003,1,31,324,21,67,4,18,16,18,11,30,50,11,3,12,31,62,.313,.222,.889,10.5,2.0,1.0,1.6
229,C.J. Williams\willicj01,2019,2019,1,1,8,0,1,0,1,0,0,0,0,0,0,0,2,2,0,.000,.000,,8.0,0.0,0.0,0.0
230,Corey Williams\willico01,1994,1994,1,4,46,5,13,0,1,1,1,1,6,6,2,0,2,6,11,.385,.000,1.000,11.5,2.8,1.5,1.5
231,Derrick Williams\willide02,2012,2014,3,155,3496,562,1338,104,349,342,483,176,767,85,78,72,184,231,1570,.420,.298,.708,22.6,10.1,4.9,0.5
232,Micheal Williams\willimi02,1993,1998,5,182,5245,697,1570,37,159,816,930,156,532,1239,299,52,472,525,2247,.444,.233,.877,28.8,12.3,2.9,6.8
233,Mo Williams\willima01,2015,2015,1,41,1149,180,447,59,170,80,94,13,98,261,30,8,102,103,499,.403,.347,.851,28.0,12.2,2.4,6.4
234,Shelden Williams\willish02,2009,2009,1,15,207,30,68,0,0,14,21,24,75,4,10,8,8,28,74,.441,,.667,13.8,4.9,5.0,0.3
235,Trevor Winter\wintetr01,1999,1999,1,1,5,0,0,0,0,0,0,1,3,0,0,0,0,5,0,,,,5.0,0.0,3.0,0.0
236,Loren Woods\woodslo01,2002,2003,2,98,869,62,172,1,5,65,87,73,217,41,27,47,59,97,190,.360,.200,.747,8.9,1.9,2.2,0.4
237,Bracey Wright\wrighbr02,2006,2007,2,26,325,45,111,12,37,27,34,10,39,20,10,1,14,14,129,.405,.324,.794,12.5,5.0,1.5,0.8
238,Thaddeus Young\youngth01,2015,2015,1,48,1605,289,641,19,65,88,129,75,245,135,86,17,75,115,685,.451,.292,.682,33.4,14.3,5.1,2.8
